Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,534.0,8.0,39.0,1746.0,0.1,29.00900000000001,0.0,0.0,268.76783061027527,,,,,,,,,,,,,,,,,,,,,11.790922314426885,9.843510296605105,28.606338099598457,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,626.0,9.0,92.0,1838.0,0.1,84.00700000000003,0.0,0.0,277.0015666484833,,,,,,,,,,,,,,,,,,,,,38.63419072669063,25.162116809340613,80.6138014422275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,672.0,10.0,46.0,1884.0,0.1,34.010999999999974,0.0,0.0,281.5086581707001,,,,,,,,,,,,,,,,,,,,,13.529577679549197,11.47694679631006,33.455517005234206,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,855.0,11.0,183.0,2067.0,0.1,165.01700000000008,0.0,0.0,297.61508321762085,,,,,,,,,,,,,,,,,,,,,73.17906432803886,45.93396441227779,151.92893717337864,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,927.0,12.0,72.0,2139.0,0.1,44.027,0.0,0.0,304.2113149166107,,,,,,,,,,,,,,,,,,,,,18.712754071305426,12.276337083647638,42.76516928025725,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,970.0,13.0,43.0,2182.0,0.1,34.00799999999998,0.0,0.0,308.24700355529785,,,,,,,,,,,,,,,,,,,,,14.47043028115209,11.280649902245063,33.452643331931,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1004.0,14.0,34.0,2216.0,0.1,26.00700000000001,0.0,0.0,311.60745191574097,,,,,,,,,,,,,,,,,,,,,10.998768816336705,8.804071879195629,25.684384945751116,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1100.0,15.0,96.0,2312.0,0.1,88.00700000000003,0.0,0.0,320.47465801239014,,,,,,,,,,,,,,,,,,,,,40.51722693193295,26.234956397795766,84.28583359589264,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1138.0,16.0,38.0,2350.0,0.1,30.00700000000001,0.0,0.0,324.21207904815674,,,,,,,,,,,,,,,,,,,,,12.903069116994743,10.004807174852148,29.57580540856593,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1168.0,17.0,30.0,2380.0,0.1,20.00900000000001,0.0,0.0,327.15888833999634,,,,,,,,,,,,,,,,,,,,,7.623278591584167,7.027163442036444,19.819921665662132,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1213.0,18.0,45.0,2425.0,0.1,33.010999999999974,0.0,0.0,331.42465710639954,,,,,,,,,,,,,,,,,,,,,13.065300261578535,11.170269526279334,32.48800501024444,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1274.0,19.0,61.0,2486.0,0.1,51.00899999999998,0.0,0.0,337.0877299308777,,,,,,,,,,,,,,,,,,,,,22.20266959960794,16.334049056953653,49.75409559151136,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1462.0,20.0,188.0,2674.0,0.1,165.0220000000001,0.0,0.0,353.79626393318176,,,,,,,,,,,,,,,,,,,,,74.55282892466604,44.74139104063342,151.3085339214719,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,53.0,1.0,53.0,2727.0,0.1,45.006999999999984,0.0,0.0,498.8873116970062,,,,,,,,,,,,,,,,,,,,,20.081196019026414,14.375142798219851,44.03071400829418,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,111.0,2.0,58.0,2785.0,0.1,50.006999999999984,0.0,0.0,504.2512493133545,,,,,,,,,,,,,,,,,,,,,22.474877918681923,15.79739297758809,48.80101030030677,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,164.0,3.0,53.0,2838.0,0.1,43.00899999999998,0.0,0.0,509.2677140235901,,,,,,,,,,,,,,,,,,,,,18.4035534466735,14.020957457810228,42.11780515984083,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,192.0,4.0,28.0,2866.0,0.1,21.006000000000007,0.0,0.0,512.1310575008392,,,,,,,,,,,,,,,,,,,,,8.94246261653461,7.212780890375597,20.79718461878999,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,260.0,5.0,68.0,2934.0,0.1,61.005999999999986,0.0,0.0,518.5897345542908,,,,,,,,,,,,,,,,,,,,,28.136151253335953,18.714763937360313,59.21110471309463,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,289.0,6.0,29.0,2963.0,0.1,21.00700000000001,0.0,0.0,521.4885668754578,,,,,,,,,,,,,,,,,,,,,8.635087961839186,7.272727817145507,20.79815796688246,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,345.0,7.0,56.0,3019.0,0.1,44.010999999999974,0.0,0.0,526.691554069519,,,,,,,,,,,,,,,,,,,,,18.205874510623467,14.484717974564742,43.07758311605408,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,375.0,8.0,30.0,3049.0,0.1,19.010000000000012,0.0,0.0,529.6408550739288,,,,,,,,,,,,,,,,,,,,,6.93092750120885,6.716775142151328,18.8397328008326,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,417.0,9.0,42.0,3091.0,0.1,33.00799999999998,0.0,0.0,533.8294277191162,,,,,,,,,,,,,,,,,,,,,13.995459795260496,10.983089442874787,32.48512846039139,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
